identifier,source_id,source,web,onset,expires,location_name,country,continent,latitude,longitude,Type: Coastal Flood,Type: Flash Flood,Type: Inland Flood,Type: River Flood,Type: Storm Surge,Type: Unknown,Type: Landslide,Cause: Dam Break,Cause: Extreme Rainfall,Cause: Ice Jam,Cause: High Tide,Cause: Long Term Rainfall,Cause: Reservoir Release,Cause: Snowmelt,Cause: Soil Saturation,Cause: Storm Surge,Cause: Tsunami,Cause: Unknown,affected_quantitative,agriculture_quantitative,communications_quantitative,cultural_heritage_quantitative,death_quantitative,education_quantitative,environment_description,environment_quantitative,evacuated_quantitative,forest_quantitative,health_sector_quantitative,heritage_quantitative,houses_damaged_quantitative,houses_destroyed_quantitative,industry_quantitative,injured_quantitative,magnitude_description,missing_quantitative,roads_quantitative,spatial_extent_quantitative,transport_quantitative
15,21567,FloodList,http://floodlist.com/asia/nasa-calculated-philippines-rainfall-from-tropical-storm-kai-tak,2017-12-16T00:00:00,2017-12-19T00:00:00,Mimaropa,Philippines,Asia,9.8432065,118.7364783,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,Unknown location - 40.0 people,,,,Unknown location - 230000.0 people,,,,,,,,Catarman - rainfall = 113.0 mm in 24 hours; Catbalogan - rainfall = 319.0 mm in 24 hours; Borongan - rainfall = 326.0 mm in 24 hours; Catarman - rainfall = 370.0 mm in 24 hours; Catbalogan - rainfall = 401.0 mm in 24 hours; Borongan - rainfall = 321.0 mm in 24 hours; Romblon - rainfall = 236.0 mm in 24 hours; Roxas - rainfall = 196.0 mm in 24 hours; Masbate - rainfall = 386.0 mm in 24 hours; Puerto Princesa - rainfall = 148.6 mm in 24 hours; Infanta - rainfall = 156.0 mm in 24 hours,,,,
16,21565,FloodList,http://floodlist.com/america/chile-landslide-los-lagos-region-december-2017,2017-12-16T00:00:00,2017-12-19T00:00:00,Villa Santa Lucia in Chaiten,Chile,South America,-43.4115992,-72.3665338,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Hualaihue - 30.0 people,,,,Chaiten - 11.0 people,,,,Chaiten - 350.0 people,,,,,,,,Chaiten - rainfall = 122.0 mm in 24 hours,Chaiten - 15.0 people,,,
17,21565,FloodList,http://floodlist.com/america/chile-landslide-los-lagos-region-december-2017,2017-12-16T00:00:00,2017-12-19T00:00:00,Hualaihue,Chile,South America,-42.1,-72.416667,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Hualaihue - 30.0 people,,,,Chaiten - 11.0 people,,,,Chaiten - 350.0 people,,,,,,,,Chaiten - rainfall = 122.0 mm in 24 hours,Chaiten - 15.0 people,,,
18,21561,FloodList,http://floodlist.com/africa/malawi-floods-lilongwe-december-2017,2017-12-16T00:00:00,2017-12-19T00:00:00,Mchesi,Malawi,Africa,-13.9945827,33.7866874,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Lilongwe District - 1000.0 people,,,,Lilongwe District - 6.0 people,,,,,,,,,,,,,,,,
19,21561,FloodList,http://floodlist.com/africa/malawi-floods-lilongwe-december-2017,2017-12-16T00:00:00,2017-12-19T00:00:00,Kaliyeka,Malawi,Africa,-14.0054944,33.8065114999999,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Lilongwe District - 1000.0 people,,,,Lilongwe District - 6.0 people,,,,,,,,,,,,,,,,
20,21561,FloodList,http://floodlist.com/africa/malawi-floods-lilongwe-december-2017,2017-12-16T00:00:00,2017-12-19T00:00:00,Kawale,Malawi,Africa,-13.9863244,33.7992536,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Lilongwe District - 1000.0 people,,,,Lilongwe District - 6.0 people,,,,,,,,,,,,,,,,
21,21561,FloodList,http://floodlist.com/africa/malawi-floods-lilongwe-december-2017,2017-12-16T00:00:00,2017-12-19T00:00:00,Chipasula,Malawi,Africa,-14.0077744,33.791749,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Lilongwe District - 1000.0 people,,,,Lilongwe District - 6.0 people,,,,,,,,,,,,,,,,
22,21558,FloodList,http://floodlist.com/asia/oman-uae-floods-december-2017,2017-12-16T00:00:00,2017-12-19T00:00:00,Saham,Oman,Asia,24.1539162,56.8648473000001,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,Oman - 3.0 people,,,,Oman - 120.0 people; UAE - 188.0 people,,,,,,,,"Liwa, Oman - rainfall = 111.6 mm in 24 hours; Jebel al-Akhdar (Saiq), Oman - rainfall = 74.0 mm in 24 hours; Shinas, Oman - rainfall = 63.0 mm in 24 hours; Izki, Oman - rainfall = 47.0 mm in 24 hours; Fujairah, UAE - rainfall = 98.4 mm in 24 hours",,,,
23,21558,FloodList,http://floodlist.com/asia/oman-uae-floods-december-2017,2017-12-16T00:00:00,2017-12-19T00:00:00,Al Batinah,Oman,Asia,24.3419846,56.7298903999999,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,Oman - 3.0 people,,,,Oman - 120.0 people; UAE - 188.0 people,,,,,,,,"Liwa, Oman - rainfall = 111.6 mm in 24 hours; Jebel al-Akhdar (Saiq), Oman - rainfall = 74.0 mm in 24 hours; Shinas, Oman - rainfall = 63.0 mm in 24 hours; Izki, Oman - rainfall = 47.0 mm in 24 hours; Fujairah, UAE - rainfall = 98.4 mm in 24 hours",,,,
24,21558,FloodList,http://floodlist.com/asia/oman-uae-floods-december-2017,2017-12-16T00:00:00,2017-12-19T00:00:00,Liwa,Oman,Asia,24.5068401,56.5952890999999,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,Oman - 3.0 people,,,,Oman - 120.0 people; UAE - 188.0 people,,,,,,,,"Liwa, Oman - rainfall = 111.6 mm in 24 hours; Jebel al-Akhdar (Saiq), Oman - rainfall = 74.0 mm in 24 hours; Shinas, Oman - rainfall = 63.0 mm in 24 hours; Izki, Oman - rainfall = 47.0 mm in 24 hours; Fujairah, UAE - rainfall = 98.4 mm in 24 hours",,,,
25,21558,FloodList,http://floodlist.com/asia/oman-uae-floods-december-2017,2017-12-16T00:00:00,2017-12-19T00:00:00,Fujairah,United Arab Emirates,Asia,25.1288099,56.3264849,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,Oman - 3.0 people,,,,Oman - 120.0 people; UAE - 188.0 people,,,,,,,,"Liwa, Oman - rainfall = 111.6 mm in 24 hours; Jebel al-Akhdar (Saiq), Oman - rainfall = 74.0 mm in 24 hours; Shinas, Oman - rainfall = 63.0 mm in 24 hours; Izki, Oman - rainfall = 47.0 mm in 24 hours; Fujairah, UAE - rainfall = 98.4 mm in 24 hours",,,,
26,21558,FloodList,http://floodlist.com/asia/oman-uae-floods-december-2017,2017-12-16T00:00:00,2017-12-19T00:00:00,Al Ain,United Arab Emirates,Asia,24.1301619,55.8023118,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,Oman - 3.0 people,,,,Oman - 120.0 people; UAE - 188.0 people,,,,,,,,"Liwa, Oman - rainfall = 111.6 mm in 24 hours; Jebel al-Akhdar (Saiq), Oman - rainfall = 74.0 mm in 24 hours; Shinas, Oman - rainfall = 63.0 mm in 24 hours; Izki, Oman - rainfall = 47.0 mm in 24 hours; Fujairah, UAE - rainfall = 98.4 mm in 24 hours",,,,
27,21558,FloodList,http://floodlist.com/asia/oman-uae-floods-december-2017,2017-12-16T00:00:00,2017-12-19T00:00:00,Khor Fakkan,United Arab Emirates,Asia,25.3365669,56.3432629,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,Oman - 3.0 people,,,,Oman - 120.0 people; UAE - 188.0 people,,,,,,,,"Liwa, Oman - rainfall = 111.6 mm in 24 hours; Jebel al-Akhdar (Saiq), Oman - rainfall = 74.0 mm in 24 hours; Shinas, Oman - rainfall = 63.0 mm in 24 hours; Izki, Oman - rainfall = 47.0 mm in 24 hours; Fujairah, UAE - rainfall = 98.4 mm in 24 hours",,,,
28,21527,FloodList,http://floodlist.com/europe/italy-floods-rivers-record-levels-december-2017,2017-12-11T00:00:00,2017-12-11T00:00:00,Lentigione,Italy,Europe,44.8663499,10.471285,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,,,,,,,,,Emilia-Romagna - 1000.0 people,,,,,,,,"Enza River at Sorbolo - river level = 12.44 metres; Secchia river, Ponte Alto - river level = 10.55 metres; Cervia - rainfall = 89.8 mm in 24 hours; Aviano - rainfall = 63.0 mm in 24 hours; Genova / Sestri - rainfall = 75.8 mm in 24 hours; Venezia / Tessera - rainfall = 70.0 mm in 24 hours; Ronchi Dei Legionari - rainfall = 60.0 mm in 24 hours; Parma river, Parma - river level = 9.49 metres",,,,
29,21527,FloodList,http://floodlist.com/europe/italy-floods-rivers-record-levels-december-2017,2017-12-11T00:00:00,2017-12-11T00:00:00,Boretto,Italy,Europe,44.9009472,10.5578961,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,,,,,,,,,Emilia-Romagna - 1000.0 people,,,,,,,,"Enza River at Sorbolo - river level = 12.44 metres; Secchia river, Ponte Alto - river level = 10.55 metres; Cervia - rainfall = 89.8 mm in 24 hours; Aviano - rainfall = 63.0 mm in 24 hours; Genova / Sestri - rainfall = 75.8 mm in 24 hours; Venezia / Tessera - rainfall = 70.0 mm in 24 hours; Ronchi Dei Legionari - rainfall = 60.0 mm in 24 hours; Parma river, Parma - river level = 9.49 metres",,,,
30,21527,FloodList,http://floodlist.com/europe/italy-floods-rivers-record-levels-december-2017,2017-12-11T00:00:00,2017-12-11T00:00:00,Colorno,Italy,Europe,44.9318812,10.3776918,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,,,,,,,,,Emilia-Romagna - 1000.0 people,,,,,,,,"Enza River at Sorbolo - river level = 12.44 metres; Secchia river, Ponte Alto - river level = 10.55 metres; Cervia - rainfall = 89.8 mm in 24 hours; Aviano - rainfall = 63.0 mm in 24 hours; Genova / Sestri - rainfall = 75.8 mm in 24 hours; Venezia / Tessera - rainfall = 70.0 mm in 24 hours; Ronchi Dei Legionari - rainfall = 60.0 mm in 24 hours; Parma river, Parma - river level = 9.49 metres",,,,
31,21527,FloodList,http://floodlist.com/europe/italy-floods-rivers-record-levels-december-2017,2017-12-11T00:00:00,2017-12-11T00:00:00,Sorbolo,Italy,Europe,44.8493175,10.4497583,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,,,,,,,,,Emilia-Romagna - 1000.0 people,,,,,,,,"Enza River at Sorbolo - river level = 12.44 metres; Secchia river, Ponte Alto - river level = 10.55 metres; Cervia - rainfall = 89.8 mm in 24 hours; Aviano - rainfall = 63.0 mm in 24 hours; Genova / Sestri - rainfall = 75.8 mm in 24 hours; Venezia / Tessera - rainfall = 70.0 mm in 24 hours; Ronchi Dei Legionari - rainfall = 60.0 mm in 24 hours; Parma river, Parma - river level = 9.49 metres",,,,
32,21527,FloodList,http://floodlist.com/europe/italy-floods-rivers-record-levels-december-2017,2017-12-11T00:00:00,2017-12-11T00:00:00,Lucca,Italy,Europe,43.8376211,10.4950609,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,,,,,,,,,Emilia-Romagna - 1000.0 people,,,,,,,,"Enza River at Sorbolo - river level = 12.44 metres; Secchia river, Ponte Alto - river level = 10.55 metres; Cervia - rainfall = 89.8 mm in 24 hours; Aviano - rainfall = 63.0 mm in 24 hours; Genova / Sestri - rainfall = 75.8 mm in 24 hours; Venezia / Tessera - rainfall = 70.0 mm in 24 hours; Ronchi Dei Legionari - rainfall = 60.0 mm in 24 hours; Parma river, Parma - river level = 9.49 metres",,,,
33,21527,FloodList,http://floodlist.com/europe/italy-floods-rivers-record-levels-december-2017,2017-12-11T00:00:00,2017-12-11T00:00:00,Rubiera,Italy,Europe,44.6529827,10.7806381,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,,,,,,,,,Emilia-Romagna - 1000.0 people,,,,,,,,"Enza River at Sorbolo - river level = 12.44 metres; Secchia river, Ponte Alto - river level = 10.55 metres; Cervia - rainfall = 89.8 mm in 24 hours; Aviano - rainfall = 63.0 mm in 24 hours; Genova / Sestri - rainfall = 75.8 mm in 24 hours; Venezia / Tessera - rainfall = 70.0 mm in 24 hours; Ronchi Dei Legionari - rainfall = 60.0 mm in 24 hours; Parma river, Parma - river level = 9.49 metres",,,,
34,21527,FloodList,http://floodlist.com/europe/italy-floods-rivers-record-levels-december-2017,2017-12-11T00:00:00,2017-12-11T00:00:00,Modena,Italy,Europe,44.647128,10.9252269,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,,,,,,,,,Emilia-Romagna - 1000.0 people,,,,,,,,"Enza River at Sorbolo - river level = 12.44 metres; Secchia river, Ponte Alto - river level = 10.55 metres; Cervia - rainfall = 89.8 mm in 24 hours; Aviano - rainfall = 63.0 mm in 24 hours; Genova / Sestri - rainfall = 75.8 mm in 24 hours; Venezia / Tessera - rainfall = 70.0 mm in 24 hours; Ronchi Dei Legionari - rainfall = 60.0 mm in 24 hours; Parma river, Parma - river level = 9.49 metres",,,,
35,21486,FloodList,http://floodlist.com/australia/solomon-islands-guadalcanal-floods-december-2017,2017-12-05T00:00:00,2017-12-05T00:00:00,Tenaru,Solomon Islands,Oceania,-9.447726,160.0756206,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,,,,,Tenaru - 575.0 people,,,,,,,,Honiara - rainfall = 86.6 mm in 24 hours; Honiara / Henderson - rainfall = 97.0 mm in 24 hours; Munda - rainfall = 51.0 mm in 24 hours,,,,Unknown location - 2.0 bridges
36,21486,FloodList,http://floodlist.com/australia/solomon-islands-guadalcanal-floods-december-2017,2017-12-05T00:00:00,2017-12-05T00:00:00,Mberande,Solomon Islands,Oceania,-9.4722443,160.2884526,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,,,,,Tenaru - 575.0 people,,,,,,,,Honiara - rainfall = 86.6 mm in 24 hours; Honiara / Henderson - rainfall = 97.0 mm in 24 hours; Munda - rainfall = 51.0 mm in 24 hours,,,,Unknown location - 2.0 bridges
37,21441,FloodList,,2017-12-01T00:00:00,2017-12-04T00:00:00,Wangaratta,Australia,Oceania,-36.3682777,146.3172149,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,,,,,,,,,"Victoria, Australia - 100.0 houses",,,,Gooram (Hillside) - rainfall = 182.2 mm in 24 hours; Stump Hill (Barjarg) - rainfall = 181.4 mm in 24 hours; Gooram (Morella) - rainfall = 174.0 mm in 24 hours; Seven Creeks in Euroa - river level = 5.1 metres; Ovens River in Wangaratta - river level = 11.75 metres,,,,
38,21441,FloodList,,2017-12-01T00:00:00,2017-12-04T00:00:00,Euroa,Australia,Oceania,-36.75,145.566667,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,,,,,,,,,"Victoria, Australia - 100.0 houses",,,,Gooram (Hillside) - rainfall = 182.2 mm in 24 hours; Stump Hill (Barjarg) - rainfall = 181.4 mm in 24 hours; Gooram (Morella) - rainfall = 174.0 mm in 24 hours; Seven Creeks in Euroa - river level = 5.1 metres; Ovens River in Wangaratta - river level = 11.75 metres,,,,
39,21441,FloodList,,2017-12-01T00:00:00,2017-12-04T00:00:00,Myrtleford,Australia,Oceania,-36.5555446,146.7237861,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,,,,,,,,,"Victoria, Australia - 100.0 houses",,,,Gooram (Hillside) - rainfall = 182.2 mm in 24 hours; Stump Hill (Barjarg) - rainfall = 181.4 mm in 24 hours; Gooram (Morella) - rainfall = 174.0 mm in 24 hours; Seven Creeks in Euroa - river level = 5.1 metres; Ovens River in Wangaratta - river level = 11.75 metres,,,,
40,21435,FloodList,http://floodlist.com/asia/sri-lanka-floods-cyclone-ockhi-december-2017,2017-11-29T00:00:00,2017-11-29T00:00:00,Galle,Sri Lanka,Asia,6.0535185,80.2209773,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,"Sri Lanka - 13.0 people; Kerala, India - 19.0 people",,,,"Sri Lanka - 5435.0 people; Kerala, India - 6581.0 people",,,,,,,,"Deraniyagala, Kegalle District, Sri Lanka - rainfall = 66.0 mm in 24 hours; Baddegama, Galle District, Sri Lanka - rainfall = 121.0 mm in 24 hours; Putupaula, Kalutara District, Sri Lanka - rainfall = 86.2 mm in 24 hours; Pitabeddara, Matara District, Sri Lanka - rainfall = 99.7 mm in 24 hours; Putupaula, Kalutara District, Sri Lanka - rainfall = 168.4 mm in 24 hours; Baddegama, Galle District, Sri Lanka - rainfall = 111.9 mm in 24 hours; Gin Ganga at Baddegama, Sri Lanka - river level = 4.31 metres; Nilwala Ganga at Panadugama, Sri Lanka - river level = 6.7 metres; Nagapattinam, Tamil Nadu, India - rainfall = 107.0 mm in 24 hours; Nagapattinam, Tamil Nadu, India - rainfall = 195.0 mm in 24 hours; Pondicherry, India - rainfall = 158.1 mm in 24 hours; Kanyakumari, Tamil Nadu, India - rainfall = 119.5 mm in 24 hours; Minicoy, Lakshadweep, India - rainfall = 169.0 mm in 24 hours",,,,
