identifier,source_id,source,web,onset,expires,location_name,country,continent,latitude,longitude,Type: Coastal Flood,Type: Flash Flood,Type: Inland Flood,Type: River Flood,Type: Storm Surge,Type: Unknown,Type: Landslide,Cause: Dam Break,Cause: Extreme Rainfall,Cause: Ice Jam,Cause: High Tide,Cause: Long Term Rainfall,Cause: Reservoir Release,Cause: Snowmelt,Cause: Soil Saturation,Cause: Storm Surge,Cause: Tsunami,Cause: Unknown,affected_quantitative,agriculture_quantitative,communications_quantitative,cultural_heritage_quantitative,death_quantitative,education_quantitative,environment_description,environment_quantitative,evacuated_quantitative,forest_quantitative,health_sector_quantitative,heritage_quantitative,houses_damaged_quantitative,houses_destroyed_quantitative,industry_quantitative,injured_quantitative,magnitude_description,missing_quantitative,roads_quantitative,spatial_extent_quantitative,transport_quantitative
1,21587,FloodList,http://floodlist.com/asia/philippines-eu-provides-humanitarian-aid-to-victims-of-typhoon-tembin,2017-12-22T00:00:00,2017-12-28T00:00:00,Zamboanga del Norte,Philippines,Asia,8.3886282,123.1688883,N,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Unknown location - 715000.0 people,,,,Unknown location - 240.0 people,,,,Unknown location - 138000.0 people,,,,,,,,,,,,
2,21587,FloodList,http://floodlist.com/asia/philippines-eu-provides-humanitarian-aid-to-victims-of-typhoon-tembin,2017-12-22T00:00:00,2017-12-28T00:00:00,Lanao del Norte,Philippines,Asia,7.8721811,123.8857747,N,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Unknown location - 715000.0 people,,,,Unknown location - 240.0 people,,,,Unknown location - 138000.0 people,,,,,,,,,,,,
3,21587,FloodList,http://floodlist.com/asia/philippines-eu-provides-humanitarian-aid-to-victims-of-typhoon-tembin,2017-12-22T00:00:00,2017-12-28T00:00:00,Lanao del Sur,Philippines,Asia,7.823176,124.4198243,N,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Unknown location - 715000.0 people,,,,Unknown location - 240.0 people,,,,Unknown location - 138000.0 people,,,,,,,,,,,,
4,21587,FloodList,http://floodlist.com/asia/philippines-eu-provides-humanitarian-aid-to-victims-of-typhoon-tembin,2017-12-22T00:00:00,2017-12-28T00:00:00,Cagayan de Oro City,Philippines,Asia,8.4542363,124.6318977,N,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Unknown location - 715000.0 people,,,,Unknown location - 240.0 people,,,,Unknown location - 138000.0 people,,,,,,,,,,,,
5,21580,FloodList,,2017-12-18T00:00:00,2017-12-18T00:00:00,Miri,Malaysia,Asia,4.399493,113.9913832,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,Sarawak - 1.0 people,,,,"Sarawak - 426.0 people; Kota Belud, Sabah - 80.0 people",,,,,,,,Kuching City South - rainfall = 157.0 mm in 24 hours; Padungan - rainfall = 171.0 mm in 24 hours,,,,
6,21580,FloodList,,2017-12-18T00:00:00,2017-12-18T00:00:00,Limbang,Malaysia,Asia,4.755032,115.0081459,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,Sarawak - 1.0 people,,,,"Sarawak - 426.0 people; Kota Belud, Sabah - 80.0 people",,,,,,,,Kuching City South - rainfall = 157.0 mm in 24 hours; Padungan - rainfall = 171.0 mm in 24 hours,,,,
7,21580,FloodList,,2017-12-18T00:00:00,2017-12-18T00:00:00,Penampang,Malaysia,Asia,5.8633758,116.2601346,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,Sarawak - 1.0 people,,,,"Sarawak - 426.0 people; Kota Belud, Sabah - 80.0 people",,,,,,,,Kuching City South - rainfall = 157.0 mm in 24 hours; Padungan - rainfall = 171.0 mm in 24 hours,,,,
8,21580,FloodList,,2017-12-18T00:00:00,2017-12-18T00:00:00,Kota Belud,Malaysia,Asia,6.353248,116.4278768,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,Sarawak - 1.0 people,,,,"Sarawak - 426.0 people; Kota Belud, Sabah - 80.0 people",,,,,,,,Kuching City South - rainfall = 157.0 mm in 24 hours; Padungan - rainfall = 171.0 mm in 24 hours,,,,
9,21578,FloodList,http://floodlist.com/africa/sudan-floods-northern-sudan-december-2017,2017-12-20T00:00:00,2017-12-20T00:00:00,Merowe,Sudan,Africa,18.4689363,31.8164031,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,,,,,Merowe - 2000.0 people,,,,,,,,,,,,
10,21567,FloodList,http://floodlist.com/asia/nasa-calculated-philippines-rainfall-from-tropical-storm-kai-tak,2017-12-16T00:00:00,2017-12-19T00:00:00,Biliran,Philippines,Asia,11.5833152,124.4641848,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,Unknown location - 40.0 people,,,,Unknown location - 230000.0 people,,,,,,,,Catarman - rainfall = 113.0 mm in 24 hours; Catbalogan - rainfall = 319.0 mm in 24 hours; Borongan - rainfall = 326.0 mm in 24 hours; Catarman - rainfall = 370.0 mm in 24 hours; Catbalogan - rainfall = 401.0 mm in 24 hours; Borongan - rainfall = 321.0 mm in 24 hours; Romblon - rainfall = 236.0 mm in 24 hours; Roxas - rainfall = 196.0 mm in 24 hours; Masbate - rainfall = 386.0 mm in 24 hours; Puerto Princesa - rainfall = 148.6 mm in 24 hours; Infanta - rainfall = 156.0 mm in 24 hours,,,,
11,21567,FloodList,http://floodlist.com/asia/nasa-calculated-philippines-rainfall-from-tropical-storm-kai-tak,2017-12-16T00:00:00,2017-12-19T00:00:00,Western Visayas,Philippines,Asia,11.0049836,122.5372741,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,Unknown location - 40.0 people,,,,Unknown location - 230000.0 people,,,,,,,,Catarman - rainfall = 113.0 mm in 24 hours; Catbalogan - rainfall = 319.0 mm in 24 hours; Borongan - rainfall = 326.0 mm in 24 hours; Catarman - rainfall = 370.0 mm in 24 hours; Catbalogan - rainfall = 401.0 mm in 24 hours; Borongan - rainfall = 321.0 mm in 24 hours; Romblon - rainfall = 236.0 mm in 24 hours; Roxas - rainfall = 196.0 mm in 24 hours; Masbate - rainfall = 386.0 mm in 24 hours; Puerto Princesa - rainfall = 148.6 mm in 24 hours; Infanta - rainfall = 156.0 mm in 24 hours,,,,
12,21567,FloodList,http://floodlist.com/asia/nasa-calculated-philippines-rainfall-from-tropical-storm-kai-tak,2017-12-16T00:00:00,2017-12-19T00:00:00,Central Visayas,Philippines,Asia,10.2968562,123.8886774,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,Unknown location - 40.0 people,,,,Unknown location - 230000.0 people,,,,,,,,Catarman - rainfall = 113.0 mm in 24 hours; Catbalogan - rainfall = 319.0 mm in 24 hours; Borongan - rainfall = 326.0 mm in 24 hours; Catarman - rainfall = 370.0 mm in 24 hours; Catbalogan - rainfall = 401.0 mm in 24 hours; Borongan - rainfall = 321.0 mm in 24 hours; Romblon - rainfall = 236.0 mm in 24 hours; Roxas - rainfall = 196.0 mm in 24 hours; Masbate - rainfall = 386.0 mm in 24 hours; Puerto Princesa - rainfall = 148.6 mm in 24 hours; Infanta - rainfall = 156.0 mm in 24 hours,,,,
13,21567,FloodList,http://floodlist.com/asia/nasa-calculated-philippines-rainfall-from-tropical-storm-kai-tak,2017-12-16T00:00:00,2017-12-19T00:00:00,Bicol,Philippines,Asia,13.4209885,123.4136736,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,Unknown location - 40.0 people,,,,Unknown location - 230000.0 people,,,,,,,,Catarman - rainfall = 113.0 mm in 24 hours; Catbalogan - rainfall = 319.0 mm in 24 hours; Borongan - rainfall = 326.0 mm in 24 hours; Catarman - rainfall = 370.0 mm in 24 hours; Catbalogan - rainfall = 401.0 mm in 24 hours; Borongan - rainfall = 321.0 mm in 24 hours; Romblon - rainfall = 236.0 mm in 24 hours; Roxas - rainfall = 196.0 mm in 24 hours; Masbate - rainfall = 386.0 mm in 24 hours; Puerto Princesa - rainfall = 148.6 mm in 24 hours; Infanta - rainfall = 156.0 mm in 24 hours,,,,
14,21567,FloodList,http://floodlist.com/asia/nasa-calculated-philippines-rainfall-from-tropical-storm-kai-tak,2017-12-16T00:00:00,2017-12-19T00:00:00,Caraga,Philippines,Asia,8.8014562,125.7406882,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,Unknown location - 40.0 people,,,,Unknown location - 230000.0 people,,,,,,,,Catarman - rainfall = 113.0 mm in 24 hours; Catbalogan - rainfall = 319.0 mm in 24 hours; Borongan - rainfall = 326.0 mm in 24 hours; Catarman - rainfall = 370.0 mm in 24 hours; Catbalogan - rainfall = 401.0 mm in 24 hours; Borongan - rainfall = 321.0 mm in 24 hours; Romblon - rainfall = 236.0 mm in 24 hours; Roxas - rainfall = 196.0 mm in 24 hours; Masbate - rainfall = 386.0 mm in 24 hours; Puerto Princesa - rainfall = 148.6 mm in 24 hours; Infanta - rainfall = 156.0 mm in 24 hours,,,,
