sep=,
"Start date","End date",Country,ISO,Location,Latitude,Longitude,"Magnitude value","Magnitude scale","Disaster type","Disaster subtype","Associated disaster","Associated disaster2","Total deaths","Total affected","Total damage ('000 US$)","Insured losses ('000 US$)","Disaster name","Disaster No."
09/07/2016,09/07/2016,China,CHN,"Fujian Sheng province",,,,Kph,Storm,"Tropical cyclone",Flood,--,69,24900,1511160,0,"Typhoon Butchoy (Nepartak)",2016-0256
18/07/2016,25/07/2016,China,CHN,"Beijing Shi, Hebei Sheng, Shanxi Sheng, Inner Mongolia, Tianjin Shi, Shandong Sheng , Henan Sheng, Liaoning, Jilin, Heilongjiang
",,,,Km2,Flood,--,--,--,289,375000,4500000,80000,,2016-0257
08/09/2016,13/09/2016,China,CHN,"Shandong Sheng, Henan Sheng, Fujian Sheng, Hunan Sheng, Guangxi Zhuangzu Zizhiqu, Sichuan Sheng, Guizhou Sheng, Yunnan Sheng, Hebei Sheng, Nei Mongol Zizhiqu, Gansu Sheng, Qinghai Sheng provinces",,,,Kph,Storm,"Convective storm",Flood,Hail,0,6000,175000,0,,2016-0340
15/09/2016,15/09/2016,China,CHN,"Fujian Sheng province",,,,Kph,Storm,"Tropical cyclone",Flood,--,0,205500,2300000,101000,"Typhoon Ferdie (Meranti)",2016-0342
28/09/2016,28/09/2016,China,CHN,"Quanzhou district (Fujian Sheng province), Sucun village (Quzhou district, Zhejiang Sheng province), Baofeng village (Lishui district, Zhejiang Sheng province)",,,119,Kph,Storm,"Tropical cyclone","Slide (land, mud, snow, rock)",--,35,36000,830000,0,"Typhoon Megi",2016-0350
16/10/2016,19/10/2016,China,CHN,"Hainan Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu provinces",,,,Kph,Storm,"Tropical cyclone",--,--,0,0,890000,0,"Typhoon Karen (Sarika)",2016-0363
19/10/2016,21/10/2016,China,CHN,"Guangdong Sheng province",,,,Kph,Storm,"Tropical cyclone",--,--,0,12000,0,0,"Typhoon Lawin (Haima)",2016-0364
02/08/2016,02/08/2016,China,CHN,"Guangdong Sheng province",,,,Kph,Storm,--,--,--,0,18000,123000,0,"Typhoon Carina (Nida)",2016-0371
04/08/2016,07/08/2016,China,CHN,"Fujian, Jiangxi, Henan, Hubei, Hunan, Sichuan, Guizhou, Yunnan, Hebei, Shanxi, Heilongjiang, Nei Mongol Zizhiqu, Liaoning Sheng provinces",,,,Kph,Storm,"Convective storm",--,--,23,14400,23000,0,,2016-0373
05/08/2016,10/08/2016,China,CHN,"Hunan Sheng, Guangxi Zhuangzu Zizhiqu, Chongqing Shi, Sichuan Sheng, Guizhou Sheng, Yunnan Sheng provinces",,,,Km2,Flood,--,--,--,23,36900,130000,0,,2016-0376
18/08/2016,19/08/2016,China,CHN,"Zhanjiang district (Guangdong Sheng province), Hainan Sheng province",,,,Kph,Storm,"Tropical cyclone",--,--,0,40000,0,0,"Tropical storm Dianmu",2016-0379
18/09/2016,22/09/2016,China,CHN,"Sichuan Sheng, Yunnan Sheng provinces",,,,Km2,Flood,--,--,--,23,1500,21000,0,,2016-0389
25/11/2016,25/11/2016,China,CHN,"Xinjinag Uygur Zizhiqu province",39.238,74.047,6.6,Richter,Earthquake,"Ground movement",--,--,1,37200,5500,0,,2016-0480
08/12/2016,08/12/2016,China,CHN,"Near Shihezi district (Xinjiang Uygur Zizhiqu province)",43.823,86.345,5.9,Richter,Earthquake,"Ground movement",--,--,0,9120,135000,0,,2016-0526
18/05/2016,18/05/2016,China,CHN,"Shimen (Yunnan - Dali Bai)",26.077,99.539,4.8,Richter,Earthquake,"Ground movement",--,--,2,5000,60000,0,,2016-0536
20/01/2017,20/01/2017,China,CHN,"Nanzhang county (Hubei province)",,,,,Landslide,Landslide,--,--,12,0,0,0,,2017-0044
01/03/2017,01/03/2017,China,CHN,"Jiangsu, Henan provinces",,,,Kph,Storm,"Convective storm",--,--,7,41133,28000,0,,2017-0110
26/03/2017,26/03/2017,China,CHN,"Yangbi (Yunnan province)",,,5,Richter,Earthquake,"Ground movement",--,--,0,2106,31000,0,,2017-0113
11/05/2017,11/05/2017,China,CHN,"Xinjiang region",,,5.4,Richter,Earthquake,"Ground movement",--,--,8,4583,2000,0,,2017-0124
15/04/2017,17/04/2017,China,CHN,"Chongqing, Henan, Hubei, Shaanxi,  Sichuan provinces",,,,Kph,Storm,"Convective storm",--,--,0,5000,200000,0,,2017-0143
31/05/2017,05/06/2017,China,CHN,"Fujian, Jiangxi, Hunan, Guangdong, Guizhou, Hubei, Sichuan, Chongqing, Guangxi",,,,Km2,Flood,"Riverine flood","Slide (land, mud, snow, rock)",--,1,28500,107000,0,,2017-0169
15/06/2017,21/06/2017,China,CHN,"Fujian, Guangdong, Beijing, Hebei, Shanxi, Inner Mongolia, Liaoning, Jilin, Heilongjiang, Shaanxi, Gansu, Qinghai, Ningxia Hui, Yunnan, Jiangxi, Hubei, Hunan, Shandong, Henan",,,,Km2,Flood,"Riverine flood",Storm,Hail,10,0,93000,0,,2017-0187
23/06/2017,23/06/2017,China,CHN,"Xinmo (Mao County, Ngawa Prefecture, Sichuan)",,,8000000,,Landslide,Rockfall,--,--,83,400,0,0,,2017-0201
20/05/2017,24/05/2017,China,CHN,"Hubei, Hunan, Chongqing, Sichuan, Guizhou, Yunnan, Guangxi",,,,Kph,Storm,"Convective storm",--,--,9,6000,61000,0,,2017-0214
22/06/2017,07/07/2017,China,CHN,"Hunan, Anhui, Chongqing, Guangdong, Guangxi, Guizhou, Hubei, Jiangxi, Sichuan, Yunnan, Zhejiang",,,,Km2,Flood,--,"Slide (land, mud, snow, rock)",--,78,12000008,6000000,250000,,2017-0245
08/06/2017,12/06/2017,China,CHN,"Sichuan, Yunnan, Chongqing, Guizhou, Hubei, Hunan, Jiangxi, Zhejiang,Fujian provinces",,,,Km2,Flood,--,--,--,11,34500,115000,0,,2017-0254
06/07/2017,09/07/2017,China,CHN,"Beijing, Tianjin, Hebei",,,,Km2,Flood,"Flash flood",Hail,Lightening,1,2700,277000,0,,2017-0261
08/07/2017,11/07/2017,China,CHN,"Sichuan, Yunnan, Guizhou, Guangxi Zhuang, Hubei, Hunan, Guangdong, Jiangxi, Jiangsu",,,,Km2,Flood,--,"Slide (land, mud, snow, rock)",--,13,21600,145000,0,,2017-0264
16/07/2017,17/07/2017,China,CHN,"Hainan Island",,,,Kph,Storm,"Tropical cyclone",--,--,0,30000,3600,0,"Tropical Storm Talas",2017-0281
13/07/2017,17/07/2017,China,CHN,"Hebei, Shanxi, Liaoning, Jilin (Jilin City), Heilongjiang, Shaanxi, Gansu, Ningxia Hui",,,,Kph,Storm,"Convective storm",Hail,--,36,174300,3400000,0,,2017-0284
14/07/2017,21/07/2017,China,CHN,"Chen village in Taiping town, Yunnan, Guangxi Zhuang, Chongqing, Sichuan, Guizhou",,,,Kph,Storm,"Convective storm","Slide (land, mud, snow, rock)",Hail,19,14400,76000,0,,2017-0286
17/07/2017,20/07/2017,China,CHN,"Jiangsu, Shandong, Henan, Hubei, Shaanxi",,,,Km2,Flood,--,--,--,12,9600,37000,0,,2017-0287
03/08/2017,03/08/2017,China,CHN,"Fujian province",,,,Kph,Storm,"Tropical cyclone",--,--,0,13800,57000,0,"Typhoon Nesat & Haitang",2017-0326
08/08/2017,08/08/2017,China,CHN,"Aba prefecture, Jiuzhaigou County (Sichuan province)",33.193,103.855,6.5,Richter,Earthquake,"Ground movement","Slide (land, mud, snow, rock)",--,29,218325,500000,0,,2017-0331
07/08/2017,07/08/2017,China,CHN,"Puge (Liangshan Yi-Sichuan province)",,,,,Landslide,Landslide,--,--,25,4,0,0,,2017-0332
24/08/2017,24/08/2017,China,CHN,"Southern, Guangdong, Guangxi Zhuang, and Fujian Provinces (Guanghai, Guangdong towns, Zhuhai, Shenzhen), Guizhou and Yunnan",,,,Kph,Storm,"Tropical cyclone",Flood,--,8,22273,3500000,250000,"Typhoon 'Hato'",2017-0352
28/08/2017,28/08/2017,China,CHN,"Bijie (Guizhou province)",,,,,Landslide,Landslide,--,--,35,758,2300,0,,2017-0363
08/08/2017,09/08/2017,China,CHN,"Gansu, Jilin, Liaoning, Heilongjiang, Shandong, Henan, Hubei, Sichuan (Chengdu, Luzhou, and Deyang) provinces",,,,Km2,Flood,--,--,--,40,45000,315000,0,,2017-0372
24/09/2017,07/10/2017,China,CHN,"Loess Plateau, Southern Shaanxi (Xianyang, Hanzhong, Ankang), western Hubei (Suizhou and Guangshui cities), southern Sichuan, northern portions of Chongqing (Kaizhou, Yunyang)",29.612,113.645,283444.21,Km2,Flood,--,--,--,16,61500,361000,0,,2017-0398
01/10/2017,10/10/2017,China,CHN,"Chongqing (Wanzhou, Beibei, Liangping), Henan (Jiazuo, Nanyang, Zhoukou), Hubei (Shiyan, Yichang), Shaanxi (Xianyang, Weinan, Ankang, Xian), Sichuan (Panzhihua), Anhui (Suzhou)",,,,Km2,Flood,--,Storm,--,23,15600,75000,0,,2017-0463
11/08/2017,16/08/2017,China,CHN,"Chongqing, Guangxi Zhuang, Guizhou, Henan, Hubei, Hunan, Jiangxi, and Yunnan",,,,Km2,Flood,--,--,--,18,37800,429000,0,,2017-0476
27/08/2017,27/08/2017,China,CHN,"Guangdong, Fujian, Guangxi Zhuang, Hainan, Yunnan",,,,Kph,Storm,"Tropical cyclone",--,--,12,300,56000,0,"Tropical storm 'Pakhar'/'Jolina'",2017-0485
18/11/2017,18/11/2017,China,CHN,"Nyingchi (Tibet)",29.833,94.978,6.4,Richter,Earthquake,"Ground movement",--,--,0,23403,0,0,,2017-0513
26/04/2017,29/04/2017,China,CHN,"Yulin city (Shaanxi province)",,,,Km2,Flood,--,--,--,8,76800,492000,0,,2017-0568
26/11/2016,05/12/2016,Colombia,COL,"Cali city (Siloé district)",,,,Km2,Flood,--,"Slide (land, mud, snow, rock)",--,6,72,0,0,,2016-0522
18/10/2016,22/10/2016,Colombia,COL,"Choco department",,,,Km2,Flood,"Riverine flood",--,--,4,2200,0,0,,2016-0533
31/03/2017,01/04/2017,Colombia,COL,"San Fernando, San Miguel, Independencia, Chaparros, San Agustín, Naranjito,Pablo VI, Avenida 17 de Julio, Miraflores, Progres (Mocoa);  Putumayo Department",,,,,Landslide,Mudslide,--,--,329,45360,100000,0,,2017-0090
17/04/2017,21/04/2017,Colombia,COL,"Manizales (Caldes)",,,,,Landslide,Landslide,--,--,20,512,2000,0,,2017-0119
17/03/2017,27/03/2017,Colombia,COL,"Antioquia, Cundinamarca, Cauca, Valle del Cauca, Nariño, Santander, Chocó, Caldas, Putumayo, César, Risaralda",,,,Km2,Flood,"Riverine flood","Slide (land, mud, snow, rock)",Storm,12,3000,2000,0,,2017-0215
23/02/2017,03/03/2017,Colombia,COL,"Cundinamarca (Guacheta), Huila (Rivera), Antioquia (Medellin, Itagui, Aburra Valley) departments",3.723,-72.674,128596.78,Km2,Flood,--,--,--,1,2000,0,0,,2017-0223
05/01/2017,07/02/2017,Colombia,COL,"Nariño Department (Olaya Herrera, Arboleda, Barbacoas, Roberto Payán, Magui Payán, Policarpa, Santa Bárbara de Iscuandé, Tumaco)",1.691,-76.286,117321.46,Km2,Flood,--,--,--,0,25661,0,0,,2017-0225
04/10/2017,04/10/2017,Colombia,COL,"San Andres, Providencia and Santa Catalina",,,,Kph,Storm,"Tropical cyclone",Flood,--,0,0,0,0,"Tropical depression'16/Hurricane 'Nate'",2017-0410
09/11/2017,09/11/2017,Colombia,COL,"Corinto (Cauca)",,,,Km2,Flood,--,"Slide (land, mud, snow, rock)",--,22,192,0,0,,2017-0478
09/11/2016,09/11/2016,"Congo (the Democratic Republic of the)",COD,"Gemena city (Sud-Ubangi district, Equateur province)",,,,Km2,Flood,"Flash flood",Storm,--,0,2635,0,0,,2016-0451
27/12/2016,28/12/2016,"Congo (the Democratic Republic of the)",COD,"Boma district (Bas-Congo province)",,,,Km2,Flood,"Flash flood",--,--,50,10000,0,0,,2016-0507
16/08/2017,16/08/2017,"Congo (the Democratic Republic of the)",COD,"Tora (Ituri)",,,,,Landslide,Landslide,--,--,174,10,0,0,,2017-0340
19/09/2017,20/09/2017,"Congo (the Democratic Republic of the)",COD,"Bihambwe, Matanda",,,,Km2,Flood,--,--,--,105,500,0,0,,2017-0391
23/11/2016,25/11/2016,"Costa Rica",CRI,"Upala, Bagaces, Osa, Golfito, Corredones",,,175,Kph,Storm,"Tropical cyclone",Flood,--,9,50000,0,0,"Tropical storm Otto",2016-0433
21/09/2017,06/10/2017,"Costa Rica",CRI,"South Pacific, Region 8- South Zone – Central Pacific: Region 6- Puntarenas (Parrita)- North Pacific: Region 5- Guanacaste (Hojancha, Sardinal de Carrillo)- Huetar Norte: Region 9- North Zone- Central Valley: Region 1, Cartago (Llano Grande de Cartago), Alajuela (Sarchí de Valverde Vega,Athens, ), San Jose (Puriscal,San Marcos de Tarrazú), Esperanza de Santa Cruz, Mollejones de Cabagra",,,,Kph,Storm,"Tropical cyclone",Flood,"Slide (land, mud, snow, rock)",13,11500,185000,0,"Tropical depression'16/Hurricane 'Nate'",2017-0410
28/09/2016,28/09/2016,"Côte d’Ivoire",CIV,"Danané region (Tonkpi district, Montagnes province)",,,,Km2,Flood,--,--,--,20,0,0,0,,2016-0352
10/06/2017,21/06/2017,"Côte d’Ivoire",CIV,"Abidjan (Abobo, Koumassi, Yopougon),  San Pedro, Pont-Brimé village",,,,Km2,Flood,"Riverine flood",Storm,"Slide (land, mud, snow, rock)",15,225,0,0,,2017-0184
11/09/2017,11/09/2017,Croatia,HRV,"Zadar region, Bibinje, Sukošan, Biograd na Moru, Nin",,,,Kph,Storm,"Convective storm",Flood,--,0,3500,161000,6000,,2017-0408
28/09/2016,07/10/2016,Cuba,CUB,"Baracoa, Imias, Maisi, San Antonio del Sur districts (Guantanamo province)",,,,Kph,Storm,"Extra-tropical storm",--,--,0,190000,2600000,0,"Hurricane Matthew",2016-0355
08/09/2017,10/09/2017,Cuba,CUB,"Habana del Este, Habana Vieja, Centro Habana, Plaza, Playa municipalities (Habana province); Sierra de Cúbitas, Florida, Nuevitas, Esmeralda municipalities (Camagüey province); Martí, Cárdenas, Matanzas, Los Arabos
Unión de Reyes municipalities  (Matanzas province); Jobabo, Manatí, Jesús Mendez, Puerto Padre municipalities (Las Tunas province); Gibara, Frank Paí, Banes, Mayarí, Rafael Freyre municipalities (Holguin province); Encrucijada
Caibaríen, Sagüa la Grande, Santo Domingo, Santa Clara municipalities (Villa Clara province); Bolivia, Moron, Chambas, Venezuela municipalities (Ciego Avila province), Pinar del Rio, Matanzas, Artemisa, Mayabeque, Cienfuegos, Sancti Spiritus, Granma, Guantamo",,,,Kph,Storm,"Tropical cyclone",Flood,--,10,10000000,540000,200000,"Hurricane 'Irma'",2017-0381
10/08/2017,11/08/2017,"Czech Republic (the)",CZE,"Northern, Southern and Central Moravia, eastern Bohemia (Kromeriz, Bohuslavice)",,,,Kph,Storm,"Convective storm",--,--,0,0,2900,0,,2017-0341
18/09/2017,19/09/2017,Dominica,DMA,"All island",,,260,Kph,Storm,"Tropical cyclone",Flood,"Slide (land, mud, snow, rock)",64,71393,1456000,19300,"Hurricane 'Maria'",2017-0383
07/05/2016,08/05/2016,"Dominican Republic (the)",DOM,"Santo Domingo, La Romana cities",,,,Km2,Flood,--,--,--,0,0,0,0,,2016-0184
03/10/2016,04/10/2016,"Dominican Republic (the)",DOM,"Azua, San José de Ocoa, San Juan de la Maguana, Pedernales, Barahona, Independencia, Dajabon, Monte Cristi, Bahoruco, Elias Pina, San Cristobal, Peravia, Santiago Rodriguez, Puerto Plata, Valverde, Santo Domingo, Distrito Nacional, Monsenor Noel, Sanchez Ramirez, Monte Plata, La Vega",,,,Kph,Storm,"Extra-tropical storm",--,--,0,0,0,0,"Hurricane Matthew",2016-0355
07/11/2016,10/11/2016,"Dominican Republic (the)",DOM,"Cabrera district (María Trinidad Sánches province), Luperón, Guananico districts, Cabecera-Cabarete (Puerto Plata province), Gaspar Hernandez district (Espaillat province), La Vega, Monte Cristi, Santiago (Jaico), Valverde, Duarte (Villa Riva, Los Peinados and Los Contreras communities), Hato Mayor, El Seibo provinces",18.92,-70.125,,Km2,Flood,"Riverine flood","Slide (land, mud, snow, rock)",--,15,2792000,0,0,,2016-0423
20/04/2017,23/04/2017,"Dominican Republic (the)",DOM,"Santo Domingo, San Cristóbal, Monte Plata, Sánchez Ramírez, Duarte and Barahona provinces",,,,Kph,Storm,--,--,--,0,10287,0,0,,2017-0137
06/09/2017,06/09/2017,"Dominican Republic (the)",DOM,"Veron, Higuey (La Altagracia), Samaná (Galera), La Romana, Puerto Plata (Motellano, Sabaneta de yasica); San Cristobal, Peravia, San José de Ocoa, Azua, Santiago (Santiago), Valverde (Mao, Esperanza), Monte cristi (Montecristi), Dajabón, Espaillat (Gaspar Hernandez), Maria Trinidad Sanchez",,,285,Kph,Storm,"Tropical cyclone",Flood,--,0,6300,0,0,"Hurricane 'Irma'",2017-0381
20/09/2017,20/09/2017,"Dominican Republic (the)",DOM,"La Altagracia, El Seibo, Hato Mayor, Samaná, Espaillat, María Trinidad Sánchez, Puerto Plata, Santiago, Sánchez Ramírez, Monseñor Nouel, La Romana, Montecristi, Duarte, San Juan, Valverde, Dajabón, Santiago Rodríguez, San Pedro de Macorís, Hermanas Mirabal (Salcedo), La Vega",,,,Kph,Storm,"Tropical cyclone",Flood,"Slide (land, mud, snow, rock)",5,26000,63000,0,"Hurricane 'Maria'",2017-0383
01/01/2016,25/01/2016,Ecuador,ECU,"Guayas, Bolívar, Esmeraldas, Cotopaxi, Los Ríos, Manabí, Imbabura, Santo Domingo de los Tsáchilas, El Oro provinces",-0.786,-797.01,69541.98,Km2,Flood,"Flash flood",--,--,9,10000,10000,0,,2016-0032
24/01/2016,26/01/2016,Ecuador,ECU,"Atacames, Rioverde, Esmeraldas districts (Esmeraldas province)",,,,Km2,Flood,"Riverine flood","Slide (land, mud, snow, rock)",--,0,23955,0,0,,2016-0039
16/04/2016,16/04/2016,Ecuador,ECU,"Guayaquil district (Guayas province), Muisne district (Esmeraldas province), Portoviejo district (Manabi province), Santo Domingo de los Tsachilas, Los Ríos, Santa Elena provinces",0.382,-79.92,7.8,Richter,Earthquake,"Ground movement","Tsunami/Tidal wave","Slide (land, mud, snow, rock)",672,389364,2000000,560000,,2016-0117
18/05/2016,18/05/2016,Ecuador,ECU,"Esmeraldas district (Esmeraldas province), Portoviejo district (Manabi province)",0.495,-79.62,6.8,Richter,Earthquake,"Ground movement",--,--,1,147,0,0,,2016-0151
27/10/2016,29/10/2016,Egypt,EGY,"South Sinai, Red Sea, Ismailia, Beni Suef, Qena, Assiut, Suhag provinces",,,,Kph,Storm,"Convective storm",Flood,--,26,32572,25000,0,,2016-0359
05/10/2017,06/10/2017,"El Salvador",SLV,"Chalatenango, La Libertad ",,,,Kph,Storm,"Tropical cyclone","Slide (land, mud, snow, rock)",--,10,584,0,0,"Tropical depression'16/Hurricane 'Nate'",2017-0410
02/04/2016,07/04/2016,Ethiopia,ETH,"Jijiga city (Fafan district, Somali province), Wolayita district (SNNPR province), Afar, Amhara, Tigray, Oromia provinces",9.268,41.691,2440002.48,Km2,Flood,"Flash flood","Slide (land, mud, snow, rock)",--,28,3080,0,0,,2016-0101
09/05/2016,20/05/2016,Ethiopia,ETH,"Wolayita district (SNNPR province), Bale district (Oromia province)",,,,Km2,Flood,"Flash flood","Slide (land, mud, snow, rock)",--,100,490000,0,0,,2016-0186
20/02/2016,21/02/2016,Fiji,FJI,"Savusavu (Cakaudrove district, Northern province, Vanua Levu Isl. and Taveuni Isl.), Bua, Macuata districts (Northern province, Vanua Levu Isl.), Western, Central provinces (Viti Levu, Yasawa, Mamanuca Isl.), Lau district (Eastern province, Vanua Balavu, Nayau Isl.), Lomaiviti district (Eastern province, Koro Isl.)",,,325,Kph,Storm,"Tropical cyclone",Flood,Surge,45,540558,600000,50000,"Cyclone Winston",2016-0041
04/04/2016,07/04/2016,Fiji,FJI,"Central, Western provinces (Viti Levu Isl.)",,,,Kph,Storm,"Tropical cyclone",Flood,--,2,5000,0,0,"Tropical cyclone Zena",2016-0141
31/05/2016,05/06/2016,France,FRA,"Yvelines, Paris districts (Ile-de-France province), Marne district (Champagne-Ardenne), Manche, Calvados districts (Basse-Normandie province), Orne, Eure, Seine-Maritime (Haute-Normandie province)",,,,Km2,Flood,--,Lightening,--,5,24,2400000,1300000,,2016-0179
06/03/2017,07/03/2017,France,FRA,"Brittany, Provence, Sud Ouest (Brive), Alpes du Sud, Centre et Sud-Est. ",,,193,Kph,Storm,"Extra-tropical storm",--,--,2,11,100000,341000,'Zeus',2017-0086
13/06/2017,15/06/2017,France,FRA,"Haute-Loire Department (Le Brignon)",45.486,3.338,,Km2,Flood,"Flash flood",--,--,1,160,0,0,,2017-0320
20/01/2017,23/01/2017,"French Polynesia",PYF,"Tahiti, Moorea",,,,Km2,Flood,--,--,--,0,5004,2000,0,,2017-0049
31/05/2016,07/06/2016,Germany,DEU,"Simbach am Inn, Triften, Tann, Regen cities (Niederbayern district, Bayern province)",48.407,10.22,91554.92,Km2,Flood,--,--,--,7,0,2000000,830000,,2016-0179
24/07/2017,27/07/2017,Germany,DEU,"Hildesheim in Niedersachsen, districts surrounding the mountain range of Harz, Goslar district, Rhüden, Goslar, Bad Harzburg, Wernigerode in Harz district, Sachsen-Anhalt, Thuringia",,,,Km2,Flood,"Riverine flood",--,--,0,600,0,0,,2017-0310
18/08/2017,19/08/2017,Germany,DEU,"Passau district, Freyung-Grafenau (Niederbayern), Altötting (Oberbayern)",,,,Kph,Storm,"Convective storm",Hail,--,3,24,159000,0,,2017-0360
22/06/2017,23/06/2017,Germany,DEU,"Harburg District in Niedersachsen, Sachsen-Anhalt, Brandenburg, Sachsen",,,,Kph,Storm,"Convective storm",--,--,2,0,740000,570000,,2017-0565
10/06/2016,14/06/2016,Ghana,GHA,"Kwame Nkrumah Circle, Airport Residential area, Dzorwulu, Tse Addo (Accra Metropolis district, Greater Accra province), Tema Metropolis district (Greater Accra province)",641.411,116.5,47506.4,Km2,Flood,--,--,--,10,0,0,0,,2016-0212
19/03/2017,19/03/2017,Ghana,GHA,"Brong Ahafo province",,,,Kph,Storm,"Convective storm",--,--,20,12,0,0,,2017-0083
01/04/2017,21/07/2017,Ghana,GHA,"Greater Accra (Weija, Tetegu - Ga South municipality), Central Region (New Tufoe, Old Praso, Kookoase, Twansukoda, Arab Area, Bankyease - Twifo Praso), Western region (Samreboi, Wassa Dunkwa, Aboi Nkwanta Samreboi communities -Wassa Amenfi West District), Eastern region (Ahiatroga community- Birim central)",,,,Km2,Flood,--,--,--,0,1000000,0,0,,2017-0306
05/09/2016,08/09/2016,Greece,GRC,"Kalamata, Thessaloniki cities (Peloponnesse)",37.418,22.292,20422.01,Km2,Flood,--,--,--,4,200,56000,0,,2016-0334
20/01/2017,20/01/2017,Greece,GRC,"Aegean Islands",,,,°C,"Extreme temperature ","Severe winter conditions",Snow/ice,--,0,0,0,0,,2017-0010
12/06/2017,12/06/2017,Greece,GRC,"Vrisa, Plomarion,Plagias, Chios, Kampas, Skala, Polichnitos, Mytilene (Lesbos)",38.915,26.371,6.3,Richter,Earthquake,"Ground movement","Slide (land, mud, snow, rock)",--,1,731,0,0,,2017-0182
21/07/2017,21/07/2017,Greece,GRC,"Kos Island",36.925,27.414,6.7,Richter,Earthquake,"Ground movement","Tsunami/Tidal wave",--,2,120,0,0,,2017-0280
11/11/2017,20/11/2017,Greece,GRC,"Mandra, Nea Peramos, Megara (near Athen-Attikis), Symi, Lefkimmi (Corfu-Kerkyras), Igoumenitsa (Thesprotias), Ionnina (Ioanninon)",38.261,23.529,2571.04,Km2,Flood,"Flash flood","Slide (land, mud, snow, rock)",--,23,6024,0,0,,2017-0444
20/09/2017,20/09/2017,Guadeloupe,GLP,"La Desirade Island",,,,Kph,Storm,"Tropical cyclone",Flood,--,4,80002,120000,0,"Hurricane 'Maria'",2017-0383
06/08/2016,06/08/2016,Guatemala,GTM,"Petén, Izabal provinces",,,,Kph,Storm,"Tropical cyclone",--,--,0,55,0,0,"Tropical storm Earl",2016-0284
06/09/2016,07/09/2016,Guatemala,GTM,"Villa Nueva",,,,,Landslide,Landslide,--,--,10,46,0,0,,2016-0318
20/06/2017,20/06/2017,Guatemala,GTM,"near San Pedro Soloma",,,,,Landslide,Landslide,--,--,11,0,0,0,,2017-0190
10/06/2017,11/06/2017,Guatemala,GTM,"Santa Marta and Santa Odilia (Nuevo Concepcion) San Francisco (Tiquisate)",,,,Km2,Flood,"Riverine flood",--,--,1,160,0,0,,2017-0196
08/09/2017,08/09/2017,Guatemala,GTM,"Huehuetenango, Quetzaltenango, Quiché, San Marcos, Suchitepéquez,
Totonicapan",,,7.7,Richter,Earthquake,"Ground movement",--,--,0,3601,0,0,,2017-0382
05/10/2017,05/10/2017,Guatemala,GTM,"Ixcan, San Luis and Coban communities",,,,Kph,Storm,"Tropical cyclone",Flood,"Slide (land, mud, snow, rock)",8,413,0,0,"Tropical depression'16/Hurricane 'Nate'",2017-0410
18/09/2017,18/09/2017,Guatemala,GTM,"Cuyotenango, San Felipe, San Martín Zapotitlán, San Andrés Villa
Seca, San Sebastián, Santa Cruz Muluá, Mazatenango’s urban centre, Colotenango’s urban centre, Calle de la Cruz, Callejón 10, Campo Borrayo municipaliaties; Icán, La otra banda and Tulula cantons; Suchitepéquez Retalhuleu departements",,,,Km2,Flood,--,--,--,0,10080,0,0,,2017-0416
23/10/2017,26/10/2017,Guatemala,GTM,"Alta Verapaz, El Progreso, Petén, Quiché",,,,Km2,Flood,--,--,--,0,1000,0,0,,2017-0449
/09/2017,28/10/2017,Guatemala,GTM,"Chisec, Coban, Panzos, Raxruha, San Cristobal Verapaz, San Juan Chamlco, San Pedro Carcha, Santa Catalina La Tinta, Santa Cruz Verapaz, Tactic, Tucuru  municipalities (Alta Verapaz department)",,,,Km2,Flood,--,--,--,0,31319,0,0,,2017-0450
04/07/2017,04/07/2017,Guinea,GIN,"Quartier commercial, Kwitiapolou, Wessoua, Dorota 1, Horaya, Gbanghana, Belle-Vue, Nyeh (Nzerekore prefecture)",,,,Km2,Flood,--,--,--,0,3287,0,0,,2017-0304
20/05/2017,25/05/2017,Guyana,GUY,"Highland areas and border with Brazil; Cuyuni-Mazaruni (Region Seven), Purima, Kako, Jawalla, Phillipi, Kamarang and Duebamang, Potaro- Siparuni (Region Eight), Kaibarupai, Waipa, Chenapau, Sand Hill Settlement, Itabac and
Kanapang",3.815,-59.015,131888.36,Km2,Flood,"Riverine flood",--,--,0,3274,0,0,,2017-0216
28/02/2016,28/02/2016,Haiti,HTI,"Cap-Haitien, Limonade cities (Cap Haitien district, Nord province), Grande Anse province",,,,Km2,Flood,"Riverine flood",Lightening,--,5,48280,2000,0,,2016-0053
23/04/2016,24/04/2016,Haiti,HTI,"Port-au-Prince city (Port-au-Prince district, Ouest province)",,,,Km2,Flood,--,"Slide (land, mud, snow, rock)",--,6,22070,0,0,,2016-0126
02/05/2016,02/05/2016,Haiti,HTI,"Bombardopolis city (Mole Saint Nicolas district, Nord Ouest province), Gonaives district (Artibonite province)",,,,Km2,Flood,"Riverine flood","Transport accident",--,23,0,0,0,,2016-0165
07/05/2016,08/05/2016,Haiti,HTI,"Baradère (Nippes), Savanette, Petit-Fond (Lascahobas)",,,,Km2,Flood,--,--,--,5,3000,0,0,,2016-0184
26/05/2016,31/05/2016,Haiti,HTI,"Leogane, Archahaei districts (Ouest province), Cite Soleil, Carrefour municipalities (Port-au-Prince district, Ouest province)",,,,Km2,Flood,--,"Slide (land, mud, snow, rock)",--,1,18373,0,0,,2016-0185
