sep=,
"Start date","End date",Country,ISO,Location,Latitude,Longitude,"Magnitude value","Magnitude scale","Disaster type","Disaster subtype","Associated disaster","Associated disaster2","Total deaths","Total affected","Total damage ('000 US$)","Insured losses ('000 US$)","Disaster name","Disaster No."
27/03/2017,07/04/2017,Argentina,ARG,"Comodoro Rivadavia (Escalante - Patagonia); Santa Rosa (Canuelas-Buenos Aires); Jujuy, Salta, Tucumán, Santiago del Estero, Catamarca, San Juan, Mendoza, Córdoba, Formosa, Misiones, Santa Fe, La Pampa, Chubut, Santa Cruz provinces",,,,Km2,Flood,--,--,--,0,39777,0,0,,2017-0104
29/05/2017,14/06/2017,Argentina,ARG,"Entre Rios, Corrientes",,,,Km2,Flood,"Riverine flood",--,--,0,3000,0,0,,2017-0195
05/04/2017,21/04/2017,Argentina,ARG,"Southern East Coast; Chubut province. Comodoro Rivadavia, Caleta Cordova and Laprida",-45.953,-67.939,27377.03,Km2,Flood,--,--,--,1,9000,0,0,,2017-0221
24/06/2016,24/06/2016,Armenia,ARM,"Karchaghbyur city (Vardanis district, Gegharqunik province), Artik city (Artik district, Shirak province)",,,,,Landslide,Landslide,--,--,0,750,0,0,,2016-0482
04/06/2016,05/06/2016,Australia,AUS,"New South Wales, Queensland, Tasmania provinces",,,115,Kph,Storm,"Convective storm",Flood,--,5,0,500000,310000,,2016-0201
10/09/2016,22/09/2016,Australia,AUS,"Victoria, South Australia provinces",-33.277,139.898,634200.41,Km2,Flood,--,--,--,1,280,25000,0,,2016-0428
27/03/2017,06/04/2017,Australia,AUS,"Logan region; Queensland; Nouvelle-Galles du Sud, au sud du Queensland, Sydney; Bowen (Whitsunday), Mackay, Proserpine (Whitsunday), Airlie beach (Whitsunday Isl.)",,,263,Kph,Storm,"Tropical cyclone",Flood,--,12,45000,2700000,1400000,Debbie,2017-0105
06/03/2017,09/03/2017,Australia,AUS,,,,,Kph,Storm,"Convective storm",--,--,0,6000,490000,390000,,2017-0562
01/06/2016,01/06/2016,Austria,AUT,"Salzburg province, Braunau am Inn district (Oberosterreich province)",,,,Km2,Flood,--,--,--,0,0,0,0,,2016-0179
05/08/2017,09/08/2017,Austria,AUT,"Tirol, Karnten, Liezen (Sölk, Öblarn, Donnersbachwald), Murtal-Judenburg (Oberzeiring, Kobenz), Murau (Oberwölz) (Steiermark), Grossartal-Sankt Johann imm Pongau (Salzburg), Mayhofem-Schwaz (Zillertal), Steinach am Brenner-Innsbruck-land, Floitental (Schwaz), Oberösterreich (Waldzell-Ried im Innkreis), Niederösterreich, Bruck-Mürzzuschlag-Bruck an der mur, Deutschlandsberg, Wiez, Leoben",,,,Kph,Storm,"Convective storm",Flood,"Slide (land, mud, snow, rock)",3,210,1200,12000,,2017-0328
19/08/2017,19/08/2017,Austria,AUT,"Sankt Johann am Walde (Braunau am Inn), Salzburg, Bad Ischl (Gmunden)",,,126,Kph,Storm,"Convective storm",--,--,2,120,0,0,,2017-0360
28/09/2016,10/10/2016,"Bahamas (the)",BHS,"New Providence, Nassau",,,,Kph,Storm,"Extra-tropical storm",Flood,--,0,0,600000,0,"Hurricane Matthew",2016-0355
08/09/2017,09/09/2017,"Bahamas (the)",BHS,"Inagua, Mayaguana, Crooked Island, Acklins, Long Cay, Ragged Island, San Salvador, Bimini",,,,Kph,Storm,"Tropical cyclone",--,--,0,0,2000,397.6,"Hurricane 'Irma'",2017-0381
03/01/2016,03/01/2016,Bangladesh,BGD,"Dhaka, Jamalpur districts (Dhaka province), Rajshahi district (Rajshahi province), Lalmonirhat, Panchagarh districts (Rangpur province)",24.804,93.65,6.7,Richter,Earthquake,"Ground movement",--,--,5,70,0,0,,2016-0002
13/05/2016,15/05/2016,Bangladesh,BGD,"Dhaka (Jatrabarhi’s Konaparha), Rajshahi (Mohanpur, Durgapur, Gogagarhi), Sirajgani (Raiganj, Ullaparha), Pabna (Sujanagar, Berha), Rajbari, Kishoreganj (Hossainpur, Tarhail, Bajitpur), Brahmanbarhia (Sarail, Banchharampur), Gazipur (Kapasia), Bogra (Sherpur), Natore (Lalpur), Habiganj (Baniachong), Naogaon (Atrai), Nilphamari (Kishoreganj)",,,,Kph,Storm,"Convective storm",Lightening,--,59,0,0,0,,2016-0154
21/05/2016,21/05/2016,Bangladesh,BGD,"Barisal; Noakhali, Lakshmipur, Chandpur (Chittagong); Cox’s Bazar, Bhola, Barguna, Patuakhali",,,,Kph,Storm,"Tropical cyclone",Flood,"Slide (land, mud, snow, rock)",28,1203555,600000,0,"Cyclone Roanu",2016-0175
19/07/2016,02/08/2016,Bangladesh,BGD,"Kurigram, Bogra, Sirajganj, Gaibandha, Tangail, Jamalpur, Nilphamari, Lalmonirhat, Sunamganj, Faridpur, Kustia,Madaripur, Manikganj, Rajbari, Rangpur, Sariatpur districts",90.04,24.09,45667.11,Km2,Flood,"Riverine flood",--,--,106,1900000,150000,0,,2016-0288
28/03/2017,15/04/2017,Bangladesh,BGD,"Netrokona, Kishoreganj, Itna (Kishoreganj), Mithamoin (Kishoreganj), Austagram (Kishoreganj), Habiganj, Karimganj (Kishoreganj), Sunamganj, Moulvibazar, Sylhet",,,,Km2,Flood,"Riverine flood",--,--,0,86025,128000,0,,2017-0138
01/05/2017,01/05/2017,Bangladesh,BGD,"Rajshani, Chapainawabganj (Nawabganj), Dorgapara (Rajshahi)",,,,Kph,Storm,"Convective storm",--,--,12,0,0,0,,2017-0139
30/05/2017,30/05/2017,Bangladesh,BGD,"Swandip, Anwara, Lohogara, Bashkhali, Sitakunda, Mirsarai, Chandanaish, Karnaphuli Thana (Chittagong district); Cohokoria, Teknaf, Moheshkhali, Kutubdia, Pekua, Ramu, Ukhiya, Shah Parir Dwip, Saint Martin’s island (Cox's Bazar district); Rangamati district (All upazillas); Nikonchori (Bandarban district); Bhola district. Khagrachhari, Feni, Noakhali districts",,,135,Kph,Storm,"Tropical cyclone",--,--,7,3300012,0,0,"Cyclone Mora",2017-0152
12/06/2017,14/06/2017,Bangladesh,BGD,"Chittagong (Teknaf, Rangunia, Chandanaish), Rangamati, Bandarban, Cox's Bazar, Khagrachari",,,,,Landslide,Mudslide,"Slide (land, mud, snow, rock)",--,160,80187,0,0,,2017-0174
10/08/2017,31/08/2017,Bangladesh,BGD,"Dinajpur, Kurigram, Lalmonirhat, Nilphamari, Chapainawabganj, Moulvibazar, Jessore, Sylhet, Gaibandha, Sunamganj, Mymensingh, Thakurgaon, Jamalpur, Joypurhat, Naogaon, Panchagarh, Bogra, Tangail, Rangamati, Comilla, Dhaka, Faridpur, Madaripur, Brahamanbaria, Munshiganj, Natore, Sirajganj, Rangpur, Sherpur, Netrakona, Chandpur, Rajshahi",,,,Km2,Flood,--,--,--,144,8000000,500000,0,,2017-0342
08/09/2017,09/09/2017,Barbados,BRB,"St. David's Christ Church, Weston St. James, Cattlewash St Joseph",,,,Kph,Storm,"Tropical cyclone",--,--,1,0,0,0,"Hurricane 'Irma'",2017-0381
05/01/2017,20/01/2017,Belarus,BLR,"Vitebsk, Minsk, Gomel, Grodno, Brest, Mogilev provinces",,,-31,°C,"Extreme temperature ","Severe winter conditions",Snow/ice,--,43,50539,0,0,,2017-0010
02/06/2016,08/06/2016,Belgium,BEL,"Harsin area (Nassogne commune, Luxembourg district, Region wallonne province)",,,,Km2,Flood,--,--,--,1,0,0,0,,2016-0179
23/06/2016,24/06/2016,Belgium,BEL,"Manage village (Mons region, Hainaut district, Region wallonne province), Jodoigne city (Brabant wallon district, Region wallonne province), Brussels airport, Atomium monument (Area without administrative 2nd division, Region de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewes province)",,,,Kph,Storm,"Convective storm",Flood,--,1,0,0,0,,2016-0211
04/08/2016,04/08/2016,Belize,BLZ,"San Pedro, Caye Caulker, Belize city, Ladyville, (Belize province), Orange Walk province, Belmopan (Cayo province)",,,110,Kph,Storm,"Tropical cyclone",--,--,0,10355,0,0,"Tropical storm Earl",2016-0284
28/02/2016,03/03/2016,"Bolivia (Plurinational State of)",BOL,"Sur Yungas, Nor Yungas, Camacho, Bautista Saavedra districts (La Paz province), Apolo municipality (Franz Tamayo district, La Paz province), Achocalla municipality (Murillo district, La Paz province), Puerto Villaroel municipality (Carrasco district, Cochabamba province), Arani district (Cochabamba province)",-12.843,-64.93,190581.43,Km2,Flood,--,"Slide (land, mud, snow, rock)",--,0,120,0,0,,2016-0246
26/11/2016,05/12/2016,"Bolivia (Plurinational State of)",BOL,"Tiquipaya (Quillacollo-Cochabamba department), Tipuani (Larecaja-La Paz), Lagunillas (Cordillera-Santa Cruz)",,,,Km2,Flood,--,"Slide (land, mud, snow, rock)",--,4,5300,0,0,,2016-0522
